constructorId,year,diffPCT,Z_Score,robustZ,color,edgecolor,rankPCT,rankZScore,rankRobustZ
jordan,1995,1.6598333665709224,-0.6395467668820651,-0.5696348903261421,yellow,black,448,291,304
ferrari,1980,1.6593559382799568,-0.18006545632421786,-0.17733908196608858,red,red,447,487,446
toro-rosso,2010,1.6395927996771245,-0.1815375773354256,0.10957431110630608,blue,maroon,446,486,578
arrows,1981,1.6320474231617372,-0.5342754732267198,-0.3241223762135537,gray,black,445,331,394
cooper,1964,1.6315759326458577,-0.5286074163041793,-0.6883264673632945,gray,black,444,334,247
lotus,1981,1.6303236257463105,-0.5121377581605537,-0.38265500851063483,gold,black,443,344,377
williams,2023,1.625514178707092,0.14455968298778563,0.24577279503005034,white,navy,442,614,628
sauber,2004,1.6156867405045685,-0.024707097195769405,0.3471990713105085,white,red,441,550,653
sauber,2003,1.608963205637391,-0.01497404775831772,0.2138594463908494,white,red,440,555,610
williams,2021,1.608936494002763,0.2344343104257356,0.457648945533791,white,navy,439,643,680
ensign,1976,1.585771578206788,-0.2289818891604965,0.05270864872299315,gray,black,438,458,559
alpine,2023,1.5820464613250649,-0.21200752004258616,-0.13045638347925365,pink,blue,437,471,465
renault,2019,1.5692490757159705,-0.10223298803141027,-0.17371903923444504,yellow,black,436,521,449
fittipaldi,1978,1.558483748496746,-0.23246455084889983,-0.1534182394656979,gray,black,435,455,454
sauber,1998,1.551773224094172,-0.3243902598300952,-0.10234698786104418,white,red,434,416,478
mclaren,1982,1.5216637381077553,-0.7487150270076376,-0.6744907594765952,orange,darkorange,433,244,259
williams,1988,1.5094183135439592,-0.8110096352141665,-0.8430959812261795,white,navy,432,214,194
benetton,1989,1.49317959271599,-0.5601380424368585,-0.7586888318572025,green,blue,431,325,222
renault,2002,1.4868956425670259,-0.35604346256826525,-0.4860357968460146,yellow,black,430,406,337
arrows,1997,1.4643859521334945,-0.055832463995560556,0.1752550483502953,gray,black,429,538,598
bar,2001,1.463415735536633,-0.3279313876372075,-0.15184870501305547,gray,black,428,413,456
honda,2007,1.451865283776501,-0.021926670579150855,0.18384349904317815,gray,black,427,552,601
sauber,2001,1.45069079134837,-0.3825209200816631,-0.2355529267710571,white,red,426,392,419
honda,1967,1.4505494675679957,-0.5332145060312721,-0.37096991771212734,gray,black,425,332,383
benetton,1986,1.4474452290950492,-0.7959950255998511,-0.7523820498033906,green,blue,424,219,223
benetton,2000,1.442724528604107,-0.21877255066299917,-0.10760077426339688,green,blue,423,460,476
mclaren,1995,1.4402294214804057,-0.7006396191997666,-0.559114222818674,orange,darkorange,422,261,310
williams,1984,1.4355761213467202,-0.644322627687107,-0.6889498531342684,white,navy,421,286,246
alphatauri,2020,1.429548150054944,-0.23256214379081652,-0.20013578272994054,white,midnightblue,420,454,433
toro-rosso,2012,1.4234660049854448,-0.17491147794691672,0.29671597773658087,blue,maroon,419,490,637
jaguar,2000,1.4195078725908725,-0.2538956556259658,-0.3755433666325034,gray,black,418,444,381
bar,2000,1.4125835411940872,-0.31229385560229406,-0.35018920101227274,gray,black,417,421,387
march,1974,1.4046095372416636,-0.21270101297068192,-0.012490569619936949,steelblue,gold,416,470,519
ferrari,1955,1.387142129705082,-0.7119129990204246,-0.5425683021083787,red,red,415,258,319
benetton,1988,1.3855729186255792,-0.8452524967076273,-0.9412689932485468,green,blue,414,200,154
ensign,1977,1.3845960329309421,-0.32553734050194083,-0.044966050631773016,gray,black,413,415,500
march,1971,1.3834063569303678,-0.4224849609972416,-0.40977126785406054,steelblue,gold,412,381,362
arrows,1978,1.3830365780531582,-0.3447447458113583,-0.25000429694885384,gray,black,411,408,414
mclaren,1967,1.372029064849429,-0.21803114239611607,-0.25274265232002324,orange,darkorange,410,462,411
alfa-romeo,1983,1.3701698138805494,-0.7235465649260063,-0.890300045687728,white,red,409,253,175
brm,1974,1.3650137052541982,-0.19626598481808472,-0.09038176176986375,gray,black,408,479,488
mclaren,2016,1.36318236360497,-0.032266895097101234,-0.004593580654778174,orange,darkorange,407,547,526
toro-rosso,2016,1.345641918063744,-0.003586594326257763,-0.0873471924780177,blue,maroon,406,561,491
lotus,1983,1.3418065680746847,-0.7508629778882039,-0.9582639518466541,gold,black,405,242,148
benetton,1990,1.3415637196505343,-0.7997408653796789,-0.7846156658071095,green,blue,404,218,212
shadow,1977,1.3373456342977765,-0.3038392104325352,-0.14854856012282155,gray,black,403,425,457
sauber,1999,1.3346922028290047,-0.07971562754055864,0.15855821877976506,white,red,402,531,596
iso-marlboro,1974,1.3303540829347138,-0.2760788789199944,-0.058651370389269146,gray,black,401,434,499
tyrrell,1978,1.3263705808357928,-0.3945151387454618,-0.21657724148542865,white,cornflowerblue,400,388,428
surtees,1977,1.3206263343091975,-0.36832682644577686,-0.20475612341253782,gray,black,399,399,430
williams,1999,1.3204254812409837,-0.28210979862861646,-0.2283200877054807,white,navy,398,432,423
bar,2003,1.3175176864390241,-0.14485077312318764,-0.011882812621813163,gray,black,397,503,522
surtees,1972,1.315733327862758,-0.43302301364542317,-0.44086735700986435,gray,black,396,380,356
lotus,1988,1.3057841542884552,-0.8516128131812248,-1.0056501050172395,gold,black,395,195,133
mclaren,2019,1.3049133198682674,-0.2823300086416862,-0.300374736702325,orange,darkorange,394,431,399
bar,1999,1.3037349808110439,-0.2135083258798052,-0.2183406452172431,gray,black,393,469,426
aston-martin,2021,1.3036253612652167,-0.04765885790264263,0.0031740741622428006,darkgreen,darkolivegreen,392,539,537
mclaren,1976,1.2961911564222055,-0.7293851672696744,-1.1292701666536813,orange,darkorange,391,251,94
benetton,1999,1.2907780575980912,-0.19553734395545963,-0.19650856828966404,green,blue,390,480,436
jordan,1996,1.2812169803134108,-0.46585486220854,-0.44838391929102495,yellow,black,389,369,351
surtees,1975,1.2810239797836365,-0.11684841501608999,0.12831775424188885,gray,black,388,515,585
lotus,1980,1.2775298257944188,-0.3259072205109797,-0.33935916844321,gold,black,387,414,390
ferrari,1984,1.2711230540368212,-0.7826416506746201,-0.6200786733033343,red,red,386,229,284
red-bull,2006,1.265364486080829,-0.1841103323615393,0.0472682713958005,darkblue,red,385,483,555
ligier,1981,1.2652068568582524,-0.6424248782177234,-0.5460924395446367,white,cyan,384,288,315
mclaren,2022,1.2645772500203276,-0.36522202592032205,-0.3806136677085417,orange,darkorange,383,402,379
